Unique ID,Location,Photo link,LINK,Part No,Description,STORE quantity,,
2026131,513,Picture,https://probots.co.in/l293-based-motor-driver.html?gad_source=1&gad_campaignid=15283483193&gclid=CjwKCAjw4dDTBhAqEiwAkHYmShiziE14n1hX2Gu6GBEmZKBpgyyKyE7GDcqixwIoaChd7A1HFlAp2RoCh7gQAvD_BwE,L293D Module,single channel motor driver shield,6,,
2026132,513,Picture,https://robocraze.com/products/l293d-motor-driver-shield-for-arduino?variant=40192528154777&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=Pmax+%7C+Full+Built+%7C+Mechanical+%26+Electronic+Accessories&utm_source=googleads&utm_medium=ppc&utm_campaign=20544560129&utm_content=_&utm_term=&campaignid=20544560129&adgroupid=&campaign=20544560129&gad_source=1&gad_campaignid=20544562487&gclid=CjwKCAjw4dDTBhAqEiwAkHYmShuo210K8jG2UAPdIcybh_Qn9yE7TUjsqzfNb77yjHyP9t8hQyBvWRoCf_UQAvD_BwE,L293,dual channel motor driver shield,5,,
2026133,513,Picture,https://robu.in/product/bigtreetech-tmc5160t-v1-0/,TMC5160T,Motor Driver,0,,
2026134,513,Picture,https://www.google.com/search?q=v1326+motor+driver&client=firefox-b-d&hs=jrOq&sca_esv=deda425220d3d1a6&biw=1366&bih=643&sxsrf=APpeQnuAG1PFHbyU0Bn8oglkmOVJVWJv4A%3A1786083761305&ei=sXl1at2dEuytseMP0Mbe-QY&oq=v1326&gs_lp=Egxnd3Mtd2l6LXNlcnAiBXYxMzI2KgIIADIKEAAYgAQYigUYQzIEEAAYHjIGEAAYBRgeMgYQABgFGB4yBBAAGB4yBBAAGB5I9KoGUMXDAViHngZwBHgBkAEAmAHdAaAB3wWqAQUwLjQuMbgBAcgBAPgBAZgCCaACoweoAhDCAgoQABhHGNYEGLADwgIHECMY6gIYJ8ICFxAAGIAEGIoFGJECGOcGGOoCGLQC2AEBwgIEECMYJ8ICBxAjGPAFGCfCAgsQABiABBiKBRiRAsICCBAuGIAEGLEDwgIFEAAYgATCAggQABiABBixA8ICDRAAGIAEGIoFGEMYsQPCAggQLhiABBjlBMICDRAuGEMYgAQY5QQYigXCAgoQABiABBgUGIcCmAMM8QVVFsgc4_uBxPEFIH7pa4sJVXWIBgGQBgi6BgYIARABGAGSBwU0LjQuMaAH0CKyBwUwLjQuMbgH8gbCBwkyLTEuNS4yLjHIB5gBgAgB&sclient=gws-wiz-serp#sv=CAMSZxowKg5mZ21YSDJaMG8yNHRETTIOZmdtWEgyWjBvMjR0RE06DnlvWFlicXUyUGxhR0NNIAQqLwobX0pucDFhck9mR3VTVXNlTVAxY3ZmNlFRXzYxEg5mZ21YSDJaMG8yNHRETRgAMAEYByCb56_7DkoIEAEYASABKAE,V1326,Motor Driver,4,,
2026135,513,Picture,https://amzn.in/d/0gp17Ngv,TB6600,Micro step Driver,0,,
2026136,513,Picture,https://zbotic.in/product/uln2003-stepper-motor-driver-board/?gad_source=1&gad_campaignid=20903026778&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSiI8wk6cBXBCnUNrVlOF73HnBycjRQ3HRkdjM_5W10KzPjPiPIgBRBoCYBUQAvD_BwE,ULN2003 Module,Darlington NPN array module,3,,
2026137,513,,,L91105,Hbridge 2channel Motor driver,1,,
2026138,513,,,,XYMOS module,1,,
2026139,513,Picture,https://robu.in/product/dfrobot-fermion-tb6612fng-2x1-2a-dc-motor-driver-breakout/,TB6612,breakout board ,6,,
2026140,513,Picture,https://www.amazon.in/TESTIN-ELECTRONICS-DRV8825-Stepper-Aluminum/dp/B0GH93KBB7,DRV8825,stepper motor Dr module,3,,
2026141,513,Picture,https://www.amazon.in/DRV8833-Channel-DC-Motor-Driver/dp/B09MSPNSZM,DRV8833,2channel DC motor driver,1,,
2026142,514,Picture,https://lubdubbazaar.com/products/disposable-ecg-chest-electrode-adult-pack-50?variant=36443499364512&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=24106518881&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSnIIGeeK38K7B8vp3NjSckz2C7paTwDzseFW3w_CKRBLYwXZ5p2NlhoCZFMQAvD_BwE,,ECG Ag ELECTRODES,148,,
2026143,514,Picture,https://kitsguru.com/products/ad8232-ecg-monitor-sensor-module?variant=48176058466556&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1,,ECG CABLES + MODULE,2,,
